"BehaviorSpace results (NetLogo 6.0)"
"Fire.nlogo"
"experiment"
"12/13/2017 15:20:07:645 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","[step]","burned-trees","initial-trees","(burned-trees / initial-trees) * 100"
"8","80","63","10669","50229","21.240717513786855"
"7","70","91","11977","43874","27.298627888954734"
"9","90","81","17060","56347","30.276678438958598"
"6","60","142","7314","37688","19.406707705370412"
"6","60","143","7362","37688","19.53406919974528"
"8","80","64","10833","50229","21.567222122678135"
"7","70","92","12117","43874","27.617723480877054"
"6","60","144","7408","37688","19.65612396518786"
"6","60","145","7457","37688","19.786138824028868"
"6","60","146","7502","37688","19.905540225005307"
"9","90","82","17274","56347","30.656467957477773"
"8","80","65","10998","50229","21.895717613330945"
"6","60","147","7539","37688","20.003714710252602"
"6","60","148","7583","37688","20.120462746762897"
"7","70","93","12276","43874","27.9801249031317"
"6","60","149","7625","37688","20.231904054340905"
"6","60","150","7668","37688","20.345998726385055"
"8","80","66","11164","50229","22.226203985745286"
"6","60","151","7722","37688","20.48928040755678"
"9","90","83","17490","56347","31.039806910749462"
"6","60","152","7770","37688","20.616641901931647"
"6","60","153","7819","37688","20.746656760772662"
"8","80","67","11332","50229","22.560672121682693"
"6","60","154","7868","37688","20.87667161961367"
"7","70","94","12429","43874","28.328850800018234"
"6","60","155","7928","37688","21.035873487582254"
"9","90","84","17698","56347","31.408948125011094"
"6","60","156","7994","37688","21.210995542347696"
"6","60","157","8065","37688","21.399384419443855"
"8","80","68","11503","50229","22.901112902904696"
"7","70","95","12573","43874","28.657063408852622"
"6","60","158","8128","37688","21.56654638081087"
"6","60","159","8183","37688","21.712481426448736"
"9","90","85","17902","56347","31.77099046976769"
"6","60","160","8234","37688","21.847803014222034"
"8","80","69","11672","50229","23.237571920603635"
"7","70","96","12711","43874","28.97160049231891"
"6","60","161","8277","37688","21.961897686266184"
"6","60","162","8320","37688","22.075992358310337"
"7","70","97","12855","43874","29.299813101153305"
"6","60","163","8354","37688","22.1662067501592"
"8","80","70","11846","50229","23.583985347110232"
"9","90","86","18109","56347","32.138356966653056"
"6","60","164","8386","37688","22.25111441307578"
"6","60","165","8424","37688","22.35194226278922"
"7","70","98","12995","43874","29.618908693075625"
"6","60","166","8463","37688","22.455423476968797"
"6","60","167","8496","37688","22.54298450435152"
"8","80","71","12014","50229","23.918453483047642"
